date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:36:24	2495/2495	---MCZ	200	added ('OK')	text/xml	date:Sun,%2025%20May%202025%2013:37:02%20GMT	https://www.stjohns.excalibur.org.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stjohns.excalibur.org.uk%2Fparents%2Fsupport%2Fpupil-premium-pp%2F&format=xml	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-json/oembed/1.0/embed9930	(from https://www.stjohns.excalibur.org.uk/parents/support/pupil-premium-pp/)
14:36:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2025%20May%202025%2013:37:02%20GMT	https://www.stjohns.excalibur.org.uk/?p=222	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/indexb4c1.html	(from https://www.stjohns.excalibur.org.uk/parents/support/pupil-premium-pp/)
14:36:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2025%20May%202025%2013:37:02%20GMT	https://www.stjohns.excalibur.org.uk/contact	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/contact	(from https://www.stjohns.excalibur.org.uk/parents/support/pupil-premium-pp/)
14:36:25	311895/311895	---M--	200	added ('OK')	application/pdf	etag:%2267891477-4c257%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2025/01/PP-Strategy-Statement-2024-25.pdf	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2025/01/PP-Strategy-Statement-2024-25.pdf	(from https://www.stjohns.excalibur.org.uk/parents/support/pupil-premium-pp/)
14:36:25	178005/178005	---M--	200	added ('OK')	application/pdf	etag:%2265782646-2b755%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2023/12/pupil-premium-strategy-statement-stj-2023-e2.pdf	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2023/12/pupil-premium-strategy-statement-stj-2023-e2.pdf	(from https://www.stjohns.excalibur.org.uk/parents/support/pupil-premium-pp/)
14:36:25	183498/183498	---M--	200	added ('OK')	application/pdf	etag:%22639b8a1d-2ccca%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2022/11/Pupil-Premium-Strategy-Statement-STJ-2022-V1.pdf	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2022/11/Pupil-Premium-Strategy-Statement-STJ-2022-V1.pdf	(from https://www.stjohns.excalibur.org.uk/parents/support/pupil-premium-pp/)
14:36:27	1381645/1381645	---MCZ	200	added ('OK')	application/javascript	etag:W/%22681c74a2-15150d%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-js-e1bd9a33a0764631807bacda55ca947c.js	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-js-e1bd9a33a0764631807bacda55ca947c.js	(from https://www.stjohns.excalibur.org.uk/parents/support/pupil-premium-pp/)
14:36:28	46773/46773	---MCZ	200	added ('OK')	application/json	date:Sun,%2025%20May%202025%2013:37:04%20GMT	https://www.stjohns.excalibur.org.uk/wp-json/wp/v2/pages/212	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-json/wp/v2/pages/212.json	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:29	2957/2957	---MCZ	200	added ('OK')	application/json	date:Sun,%2025%20May%202025%2013:37:06%20GMT	https://www.stjohns.excalibur.org.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stjohns.excalibur.org.uk%2Fparents%2Fsend%2F	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-json/oembed/1.0/embed36ba.json	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2025%20May%202025%2013:37:06%20GMT	https://www.stjohns.excalibur.org.uk/?p=212	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/index905c.html	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:29	3105/3105	---MCZ	200	added ('OK')	text/xml	date:Sun,%2025%20May%202025%2013:37:06%20GMT	https://www.stjohns.excalibur.org.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stjohns.excalibur.org.uk%2Fparents%2Fsend%2F&format=xml	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-json/oembed/1.0/embeda628	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2025%20May%202025%2013:37:07%20GMT	https://www.stjohns.excalibur.org.uk/contact	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/contact	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:30	9152/9152	---M--	200	added ('OK')	image/png	etag:%2265eb02af-23c0%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2024/03/EDI-logo-150x150.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2024/03/EDI-logo-150x150.png	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:30	19066/19066	---M--	200	added ('OK')	image/png	etag:%22627e2ccf-4a7a%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/AEN-Guide-S-LB.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/AEN-Guide-S-LB.png	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:31	109058/109058	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2025%20May%202025%2013:37:08%20GMT	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2020/10/AEN-information-2020-B.pdf	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2020/10/AEN-information-2020-B.pdf	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:32	133008/133008	---M--	200	added ('OK')	application/pdf	etag:%22651c05a0-20790%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2023/10/SEND-information-2022.pdf	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2023/10/SEND-information-2022.pdf	(from https://www.stjohns.excalibur.org.uk/parents/send/)
